league,season,team,player,nation,pos,age,Club,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
INT-World Cup,2026,Haiti,Ricardo Adé,Haiti,DF,36-037,1. LDU Quito,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Ruben Providence,Haiti,MF,24-355,2. Almere City,2001,3,3,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Wilson Isidor,Haiti,FW,25-304,1. Sunderland,2000,3,2,186,2.1,1,0,1,1,0,0,0,0,0.48,0.0,0.48,0.48,0.48
INT-World Cup,2026,Haiti,Yassin Fortuné,Haiti,"FW,MF",27-148,2. Vizela,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Ali Alipour,IR Iran,FW,30-228,1. Persepolis,1995,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Ali Nemati,IR Iran,DF,30-139,1. Foolad,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Alireza Beiranvand,IR Iran,GK,33-279,1. Tractor,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Alireza Jahanbakhsh,IR Iran,"FW,MF",32-320,1. Dender,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Amirhossein Hosseinzadeh,IR Iran,FW,25-240,1. Tractor,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Aria Yousefi,IR Iran,MF,24-066,1. Sepahan,2002,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Ehsan Hajsafi,IR Iran,DF,36-122,1. Sepahan,1990,2,1,91,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Hossein Kanaanizadegan,IR Iran,DF,32-096,1. Persepolis,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Mehdi Ghayedi,IR Iran,FW,27-204,1. Al-Nasr Dubai SC,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Mehdi Taremi,IR Iran,FW,33-344,1. Olympiacos,1992,2,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Mehdi Torabi,IR Iran,MF,31-290,1. Tractor,1994,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Milad Mohammadi,IR Iran,DF,32-271,1. Persepolis,1993,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Mohammad Mohebi,IR Iran,MF,27-189,1. Rostov,1998,2,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58
INT-World Cup,2026,IR Iran,Ramin Rezaeian,IR Iran,"MF,DF",36-098,1. Foolad,1990,2,2,180,2.0,1,1,2,1,0,0,0,0,0.5,0.5,1.0,0.5,1.0
INT-World Cup,2026,IR Iran,Saeid Ezatolahi,IR Iran,MF,29-269,1. Al-Ahli Dubai FC,1996,2,2,174,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Saleh Hardani,IR Iran,DF,27-183,1. Esteghlal,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Saman Ghoddos,IR Iran,MF,32-294,1. Al-Ittihad Kalba SC,1993,2,2,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Shahriar Moghanlou,IR Iran,FW,31-188,1. Al-Ittihad Kalba SC,1994,2,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,IR Iran,Shoja' Khalilzadeh,IR Iran,DF,37-044,1. Tractor,1989,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Ahmed Basil,Iraq,GK,29-312,1. Al-Shorta,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Ahmed Qasem,Iraq,FW,22-350,1. Nashville SC,2003,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Aimar Sher,Iraq,MF,23-189,1. Sarpsborg 08,2002,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Akam Hashim,Iraq,DF,27-315,1. Al-Zawra'a SC,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Ali Al Hamadi,Iraq,FW,24-118,2. Ipswich Town,2002,2,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Ali Jasim,Iraq,MF,22-158,1. Al-Najma,2004,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Amir Al Ammari,Iraq,MF,28-335,1. Cracovia,1997,2,2,157,1.7,0,1,1,0,0,0,1,0,0.0,0.57,0.57,0.0,0.57
INT-World Cup,2026,Iraq,Ayman Hussein,Iraq,FW,30-097,1. Al-Karma,1996,2,2,115,1.3,1,0,1,1,0,0,0,0,0.78,0.0,0.78,0.78,0.78
INT-World Cup,2026,Iraq,Hussein Ali,Iraq,DF,24-118,1. Pogoń Szczecin,2002,2,2,162,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Ibrahim Bayesh,Iraq,"MF,FW",26-057,1. Al Dhafra SCC,2000,2,2,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Jalal Hassan,Iraq,GK,35-040,1. Al-Zawra'a SC,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Marko Farji,Iraq,MF,22-103,2. Venezia,2004,2,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Merchas Doski,Iraq,DF,26-202,1. Viktoria Plzeň,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Mohanad Ali,Iraq,FW,26-007,1. Dibba Al Fujairah,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Mustafa Saadoon,Iraq,DF,25-033,1. Al-Shorta,2001,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Rebin Sulaka,Iraq,DF,34-076,1. Port FC,1992,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Youssef Amyn,Iraq,MF,22-310,1. AEK Larnaca,2003,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Zaid Ismail,Iraq,MF,24-175,1. Al-Talaba,2002,2,2,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Zaid Tahseen,Iraq,DF,25-149,1. Pakhtakor Tashkent FK,2001,2,2,149,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Iraq,Zidane Iqbal,Iraq,MF,23-061,1. Utrecht,2003,2,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Ao Tanaka,Japan,MF,27-290,1. Leeds United,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Ayase Ueda,Japan,FW,27-290,1. Feyenoord,1998,3,3,231,2.6,2,1,3,2,0,0,0,0,0.78,0.39,1.17,0.78,1.17
INT-World Cup,2026,Japan,Ayumu Seko,Japan,DF,26-020,1. Le Havre,2000,2,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Daichi Kamada,Japan,MF,29-326,1. Crystal Palace,1996,3,3,252,2.8,2,0,2,2,0,0,0,0,0.71,0.0,0.71,0.71,0.71
INT-World Cup,2026,Japan,Daizen Maeda,Japan,MF,28-250,1. Celtic,1997,2,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58
INT-World Cup,2026,Japan,Hiroki Ito,Japan,DF,27-046,1. Bayern Munich,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Junnosuke Suzuki,Japan,DF,22-350,1. FC Copenhagen,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Junya Itō,Japan,MF,33-110,1. Genk,1993,3,1,139,1.5,1,0,1,1,0,0,0,0,0.65,0.0,0.65,0.65,0.65
INT-World Cup,2026,Japan,Kaishū Sano,Japan,MF,25-179,1. Mainz 05,2000,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,Japan,Keisuke Gotō,Japan,FW,21-024,1. Sint-Truiden,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Keito Nakamura,Japan,MF,25-334,2. Reims,2000,3,3,242,2.7,1,1,2,1,0,0,0,0,0.37,0.37,0.74,0.37,0.74
INT-World Cup,2026,Japan,Kento Shiogai,Japan,FW,21-093,1. Wolfsburg,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Ko Itakura,Japan,DF,29-151,1. Ajax,1997,2,2,128,1.4,0,1,1,0,0,0,0,0,0.0,0.7,0.7,0.0,0.7
INT-World Cup,2026,Japan,Kōki Ogawa,Japan,FW,28-323,1. NEC Nijmegen,1997,2,0,41,0.5,0,1,1,0,0,0,0,0,0.0,2.2,2.2,0.0,2.2
INT-World Cup,2026,Japan,Ritsu Doan,Japan,MF,28-011,1. Frankfurt,1998,3,3,213,2.4,0,1,1,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42
INT-World Cup,2026,Japan,Shogo Taniguchi,Japan,DF,34-347,1. Sint-Truiden,1991,2,1,142,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Takefusa Kubo,Japan,MF,25-023,1. Real Sociedad,2001,1,1,74,0.8,0,1,1,0,0,0,0,0,0.0,1.22,1.22,0.0,1.22
INT-World Cup,2026,Japan,Takehiro Tomiyasu,Japan,DF,27-234,1. Ajax,1998,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Tsuyoshi Watanabe,Japan,DF,29-142,1. Feyenoord,1997,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Yuito Suzuki,Japan,"FW,MF",24-245,1. Freiburg,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Yukinari Sugawara,Japan,MF,25-364,1. Werder Bremen,2000,3,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Yūto Nagatomo,Japan,"DF,MF",39-288,1. FC Tokyo,1986,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Japan,Zion Suzuki,Japan,GK,23-310,1. Parma,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Abdallah Nasib,Jordan,DF,32-122,1. Al-Zawra'a SC,1994,2,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Ali Azaizeh,Jordan,MF,22-075,1. Al-Shabab,2004,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Ali Olwan,Jordan,MF,26-093,1. Al-Sailiya SC,2000,2,2,179,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5
INT-World Cup,2026,Jordan,Husam Abu Dahab,Jordan,DF,26-045,1. Al-Salmiya SC,2000,1,1,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Ihsan Haddad,Jordan,DF,32-142,1. Al-Hussein SC,1994,2,2,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Mahmoud Al-Mardi,Jordan,MF,32-264,1. Al-Hussein SC,1993,2,1,85,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Mo Abualnadi,Jordan,DF,25-139,1. Selangor FA,2001,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Mohammad Abu Hasheesh,Jordan,DF,31-049,1. Al-Karma,1995,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Mohammad Al-Dawud,Jordan,"FW,MF",34-076,1. Al-Wehdat SC,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Mohannad Abu Taha,Jordan,DF,23-145,1. Al-Quwa Al-Jawiya,2003,2,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Musa Al-Taamari,Jordan,FW,29-017,1. Rennes,1997,2,2,170,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Jordan,Nizar Al Rashdan,Jordan,MF,27-096,1. Qatar SC,1999,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,0.5,0.5
INT-World Cup,2026,Jordan,Noor Al Rawabdeh,Jordan,MF,29-123,1. Selangor FA,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,Jordan,Odeh Al-Fakhouri,Jordan,MF,20-217,1. Pyramids FC,2005,2,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Saed Al-Rosan,Jordan,DF,29-146,1. Al-Hussein SC,1997,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Salim Obaid,Jordan,DF,34-161,1. Al-Hussein SC,1992,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Sharara,Jordan,FW,28-179,1. Raja Casablanca,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Yazan Al-Arab,Jordan,DF,30-147,1. FC Seoul,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Jordan,Yazeed Abulaila,Jordan,GK,33-170,1. Al-Hussein SC,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Cho Gue-sung,Korea Republic,FW,28-153,1. Midtjylland,1998,2,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Eom Ji-sung,Korea Republic,MF,24-049,2. Swansea City,2002,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Hwang Hee-chan,Korea Republic,FW,30-152,1. Wolves,1996,3,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Hwang In-beom,Korea Republic,MF,29-280,1. Feyenoord,1996,3,3,263,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68
INT-World Cup,2026,Korea Republic,Jens Castrop,Korea Republic,MF,22-333,1. Gladbach,2003,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Kim Jin-gyu,Korea Republic,MF,29-123,1. Jeonbuk,1997,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Kim Min-jae,Korea Republic,DF,29-224,1. Bayern Munich,1996,3,3,245,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Kim Moon-hwan,Korea Republic,MF,30-330,1. Daejeon Hana,1995,1,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Kim Seung-gyu,Korea Republic,GK,35-270,1. FC Tokyo,1990,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Lee Gi-hyuk,Korea Republic,DF,25-355,1. Gangwon FC,2000,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Lee Han-beom,Korea Republic,DF,24-010,1. Midtjylland,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Lee Jae-sung,Korea Republic,FW,33-321,1. Mainz 05,1992,2,2,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Lee Kang-in,Korea Republic,FW,25-128,1. PSG,2001,3,3,270,3.0,0,1,1,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33
INT-World Cup,2026,Korea Republic,Lee Tae-seok,Korea Republic,MF,23-334,1. Austria Wien,2002,2,2,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Oh Hyeon-gyu,Korea Republic,FW,25-076,1. Beşiktaş,2001,3,1,129,1.4,1,0,1,1,0,0,0,0,0.7,0.0,0.7,0.7,0.7
INT-World Cup,2026,Korea Republic,Paik Seung-ho,Korea Republic,MF,29-102,2. Birmingham City,1997,3,3,204,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Park Jinseob,Korea Republic,"DF,MF",30-247,1. Zhejiang,1995,2,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Seol Young-woo,Korea Republic,MF,27-204,1. Red Star,1998,3,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Son Heung-min,Korea Republic,FW,33-354,1. LAFC,1992,3,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Korea Republic,Yang Hyun-jun,Korea Republic,"FW,MF",24-033,1. Celtic,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Alexis Vega,Mexico,"FW,MF",28-214,1. Toluca,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Armando González,Mexico,FW,23-068,1. Guadalajara,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Brian Gutiérrez,Mexico,MF,23-010,1. Guadalajara,2003,2,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,César Huerta,Mexico,"FW,MF",25-206,1. Anderlecht,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,César Montes,Mexico,DF,29-123,1. Loko Moscow,1997,2,2,179,2.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Edson Álvarez,Mexico,"MF,DF",28-246,1. West Ham,1997,3,2,195,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Erik Lira,Mexico,MF,26-050,1. Cruz Azul,2000,2,2,165,1.8,0,1,1,0,0,0,0,0,0.0,0.55,0.55,0.0,0.55
INT-World Cup,2026,Mexico,Gilberto Mora,Mexico,MF,17-256,1. Tijuana,2008,2,1,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Guillermo Martínez Ayala,Mexico,FW,31-104,1. UNAM,1995,1,1,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Guillermo Ochoa,Mexico,GK,40-349,1. AEL Limassol,1985,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Israel Reyes,Mexico,DF,26-035,1. América,2000,3,2,191,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Jesús Gallardo,Mexico,DF,31-316,1. Toluca,1994,3,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Johan Vásquez,Mexico,DF,27-248,1. Genoa,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Jorge Sánchez,Mexico,DF,28-199,1. PAOK,1997,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,Mexico,Julián Quiñones,Mexico,"FW,MF",29-095,1. Al-Qadsiah,1997,3,3,251,2.8,2,0,2,2,0,0,0,0,0.72,0.0,0.72,0.72,0.72
INT-World Cup,2026,Mexico,Luis Chávez,Mexico,MF,30-163,1. Dynamo Moskva,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Luis Romo,Mexico,MF,31-022,1. Guadalajara,1995,2,2,132,1.5,1,1,2,1,0,0,0,0,0.68,0.68,1.36,0.68,1.36
INT-World Cup,2026,Mexico,Mateo Chávez,Mexico,DF,22-046,1. AZ Alkmaar,2004,1,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0.0,1.17,1.17,1.17
INT-World Cup,2026,Mexico,Obed Vargas,Mexico,MF,20-326,1. Atlético Madrid,2005,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Orbelín Pineda,Mexico,"FW,MF",30-095,1. AEK Athens,1996,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Raúl Jiménez,Mexico,FW,35-053,1. Fulham,1991,2,2,154,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,0.58,0.58
INT-World Cup,2026,Mexico,Raúl Rangel,Mexico,GK,26-122,1. Guadalajara,2000,3,3,257,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Roberto Alvarado,Mexico,"FW,MF",27-293,1. Guadalajara,1998,3,3,259,2.9,0,2,2,0,0,0,0,0,0.0,0.69,0.69,0.0,0.69
INT-World Cup,2026,Mexico,Santiago Giménez,Mexico,FW,25-070,1. Milan,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Mexico,Álvaro Fidalgo,Mexico,MF,29-079,1. Real Betis,1997,2,1,84,0.9,1,0,1,1,0,0,0,0,1.07,0.0,1.07,1.07,1.07
INT-World Cup,2026,Morocco,Achraf Hakimi,Morocco,DF,27-235,1. PSG,1998,3,3,270,3.0,1,1,2,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67
INT-World Cup,2026,Morocco,Anass Salah-Eddine,Morocco,DF,24-160,1. PSV,2002,2,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Morocco,Ayoub El Kaabi,Morocco,FW,33-001,1. Olympiacos,1993,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Morocco,Ayoube Amaimouni,Morocco,MF,21-209,1. Frankfurt,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Morocco,Ayyoub Bouaddi,Morocco,MF,18-268,1. Lille,2007,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Morocco,Azzedine Ounahi,Morocco,MF,26-069,1. Girona,2000,3,2,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Morocco,Bilal El Khannouss,Morocco,MF,22-048,1. Stuttgart,2004,3,3,252,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Morocco,Brahim Díaz,Morocco,MF,26-328,1. Real Madrid,1999,3,3,216,2.4,0,2,2,0,0,0,0,0,0.0,0.83,0.83,0.0,0.83
INT-World Cup,2026,Morocco,Chadi Riad,Morocco,DF,23-010,1. Crystal Palace,2003,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33
INT-World Cup,2026,Morocco,Chemsdine Talbi,Morocco,MF,21-049,1. Sunderland,2005,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Morocco,Gessime Yassine,Morocco,MF,20-217,1. Strasbourg,2005,1,0,21,0.2,1,0,1,1,0,0,0,0,4.29,0.0,4.29,4.29,4.29
